stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
WLDFLRCKRY:1,MTD5908,Wildflower & Chickory (North Side),,40.124803,-88.31368,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wldflrckry-1,0,
EASTKER:4,MTD2327,Eastern & Kerr (NW Corner),,40.12221667,-88.19232667,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/eastker,0,
BRAD:2,MTD4612,Bradley (North Side),,40.12765333,-88.29160333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/brad,0,
GWNGRG:4,MTD2554,Goodwin & Gregory (NW Corner),,40.10437167,-88.223885,2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/gwngrg,0,
BAYBRDWLK:2,MTD3237,Baytowne & Boardwalk (SE Corner),,40.14055167,-88.260885,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/baybrdwlk,0,
SPFLDJAS:3,MTD4330,Springfield & James (SW Corner),,40.11268333000001,-88.26504167,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/spfldjas,0,
PLAJEANNE:3,MTD7354,Paula & Jeanne (South Side),,40.13169167,-88.26478833,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/plajeanne,0,
CHCHNEIL:8,MTD7533,Church & Neil (NW Far Side),,40.11833,-88.244279,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/chchneil,0,
PLAPWRS:1,MTD2112,Paula & Powers (NE Corner),,40.13134667,-88.26367166999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/plapwrs,0,
1STLAKEPKN:2,MTD5117,First & Lake Park North (East Side),,40.064809,-88.23828399999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/1stlakepkn-2,0,
VINWTR:4,MTD3105,Vine & Water (NW Corner),,40.11363833,-88.20509833,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/vinwtr,0,
UNILYN:3,MTD3653,University & Lynn (SW Corner),,40.11625167,-88.25190833,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/unilyn,0,
ODNS:2,MTD3214,Orchard Downs North Shelter (East),,40.09640000000001,-88.214195,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/odns,0,
BRADWLS:3,MTD6422,Bradley & Willis (SW Corner),,40.12715667,-88.26053,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/bradwls,0,
PSPCTDNSN:2,MTD1631,Prospect & Dennison (SE Corner),,40.12823333,-88.25788,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pspctdnsn,0,
UNIHVY:6,MTD0968,University & Harvey (SE Far Side),,40.116346,-88.221954,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/unihvy,0,
PKLNCTBRAD:1,MTD0217,Parkland Ct. & Bradley (NE Corner),,40.12752,-88.27852333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/pklnctbrad,0,
SPFLDRYLCT:1,MTD6531,Springfield & Royal Ct. (NE Corner),,40.11285500000001,-88.27099667,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/spfldrylct,0,
STEHSL:6,MTD5034,State & Hessel (SE Far Side),,40.10223167,-88.246295,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/stehsl,0,
KBYGDVWW:1,MTD0732,Kirby & Grandview West (NE Corner),,40.09818333,-88.25198833,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/kbygdvww,0,
WDSRPSPCT:1,MTD2641,Windsor & Prospect (NE Corner),,40.08368167,-88.25718166999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wdsrpspct,0,
